                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5459,                 8.8845,                 2.4551,                0.51276,                0.12268,                0.11838,                0.09537,                 1.4805,                 9.8814,                 2.3326,             0.00011462,             0.00011462,             0.00011462
                      2,                 1.5611,                 6.8899,                 2.3627,                0.26467,                0.33259,                0.25749,                0.20621,                 1.3984,                 8.2012,                 2.2441,             0.00022734,             0.00022734,             0.00022734
                      3,                  1.583,                 5.6689,                 2.3442,                 0.4335,                 0.3483,                0.33226,                0.27107,                 1.4094,                 6.4616,                 2.3128,             0.00033779,             0.00033779,             0.00033779
                      4,                 1.5831,                 4.8725,                 2.3196,                0.49264,                0.43947,                0.45647,                0.37702,                  1.399,                 5.2374,                 2.2377,             0.00033475,             0.00033475,             0.00033475
                      5,                 1.5521,                 4.2344,                 2.3018,                 0.4584,                0.46055,                0.44632,                0.36043,                 1.3833,                 4.9716,                 2.2025,             0.00033134,             0.00033134,             0.00033134
                      6,                 1.5207,                 3.8574,                 2.2723,                0.49888,                0.51176,                0.51701,                0.41557,                  1.381,                 4.2655,                  2.229,             0.00032792,             0.00032792,             0.00032792
                      7,                 1.5093,                 3.4727,                 2.2581,                0.61704,                0.49469,                 0.5947,                0.49675,                 1.3278,                  3.459,                 2.1785,             0.00032451,             0.00032451,             0.00032451
                      8,                 1.4911,                 3.2098,                 2.2385,                0.69396,                 0.5597,                0.62805,                0.53736,                 1.2473,                 3.2337,                 2.1298,             0.00032109,             0.00032109,             0.00032109
                      9,                 1.4886,                 3.0654,                 2.2452,                0.69534,                0.66676,                0.72848,                0.61035,                 1.3178,                 2.7257,                 2.1444,             0.00031768,             0.00031768,             0.00031768
                     10,                 1.4633,                 2.8427,                 2.2163,                0.63101,                0.63063,                0.70735,                0.59316,                 1.2422,                 2.7974,                 2.1011,             0.00031426,             0.00031426,             0.00031426
                     11,                 1.4497,                 2.6819,                 2.2114,                0.59356,                0.63789,                0.68856,                0.57697,                 1.2792,                 2.8332,                 2.1827,             0.00031084,             0.00031084,             0.00031084
                     12,                 1.4223,                 2.5556,                 2.1906,                0.61449,                0.71171,                0.70822,                0.59846,                 1.2147,                 2.4984,                  2.079,             0.00030743,             0.00030743,             0.00030743
                     13,                 1.4084,                 2.4505,                 2.1882,                0.74955,                0.67479,                0.74878,                0.64001,                 1.2104,                 2.2967,                 2.0705,             0.00030401,             0.00030401,             0.00030401
                     14,                 1.4094,                 2.3482,                 2.1785,                0.74722,                0.71913,                0.77934,                0.67077,                 1.1991,                 2.1269,                 2.0563,              0.0003006,              0.0003006,              0.0003006
                     15,                 1.3981,                 2.2605,                   2.17,                0.71078,                0.68479,                0.76467,                0.65503,                 1.2497,                 2.1566,                 2.0788,             0.00029718,             0.00029718,             0.00029718
                     16,                 1.3917,                 2.2339,                 2.1702,                0.73564,                0.70138,                0.77439,                 0.6692,                 1.1678,                 1.9812,                 2.0223,             0.00029377,             0.00029377,             0.00029377
                     17,                 1.3913,                 2.1744,                 2.1709,                0.78752,                0.74437,                 0.8285,                 0.7079,                 1.2156,                 1.8415,                  2.032,             0.00029035,             0.00029035,             0.00029035
