epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,112.671,0.92453,3.31097,1.24999,0.68219,0.7319,0.77128,0.60315,0.73873,2.26289,1.10768,0.00331984,0.00331984,0.00331984
2,226.166,0.91981,1.76493,1.19605,0.79415,0.84911,0.88607,0.66168,0.80984,1.85128,1.14494,0.00662024,0.00662024,0.00662024
3,348.597,0.98983,1.56919,1.21641,0.78881,0.79726,0.84925,0.5961,0.92795,1.83248,1.25105,0.00988764,0.00988764,0.00988764
4,459.884,1.02724,1.46623,1.23109,0.7258,0.79818,0.80244,0.58525,0.89841,1.64423,1.22193,0.0098515,0.0098515,0.0098515
5,572.543,0.99663,1.24474,1.21697,0.88078,0.8626,0.92506,0.69321,0.83104,1.24112,1.15215,0.009802,0.009802,0.009802
6,693.506,0.96419,1.09888,1.19698,0.88901,0.91234,0.93894,0.70585,0.82388,0.9458,1.14642,0.0097525,0.0097525,0.0097525
7,803.688,0.95217,0.9855,1.18741,0.89079,0.91393,0.94494,0.72229,0.80096,0.83481,1.14062,0.009703,0.009703,0.009703
8,916.404,0.93479,0.89996,1.18078,0.86024,0.90847,0.9351,0.7252,0.78253,0.79354,1.12215,0.0096535,0.0096535,0.0096535
9,1027.45,0.90504,0.8265,1.1551,0.92026,0.9156,0.94899,0.75744,0.72353,0.63322,1.07228,0.009604,0.009604,0.009604
10,1126.67,0.89483,0.79778,1.15598,0.92616,0.92376,0.96468,0.77776,0.70536,0.59824,1.07451,0.0095545,0.0095545,0.0095545
11,1227.77,0.87795,0.74885,1.14345,0.9468,0.92094,0.96137,0.77606,0.68594,0.54866,1.05135,0.009505,0.009505,0.009505
12,1343.72,0.877,0.71783,1.1432,0.85505,0.86718,0.90476,0.70455,0.75977,0.74906,1.11905,0.0094555,0.0094555,0.0094555
13,1446.84,0.87097,0.70386,1.1402,0.93454,0.93258,0.96736,0.78225,0.68933,0.55229,1.04794,0.009406,0.009406,0.009406
14,1557.99,0.845,0.68364,1.12554,0.93519,0.9355,0.97394,0.8033,0.66067,0.49025,1.0295,0.0093565,0.0093565,0.0093565
15,1672.33,0.84369,0.66853,1.12591,0.93971,0.92455,0.96813,0.79658,0.6823,0.4897,1.04728,0.009307,0.009307,0.009307
16,1775.33,0.8377,0.65314,1.123,0.9411,0.95726,0.97684,0.79384,0.68833,0.47328,1.06142,0.0092575,0.0092575,0.0092575
17,1880.86,0.8406,0.64491,1.12776,0.91968,0.91705,0.95847,0.78035,0.67393,0.52397,1.04549,0.009208,0.009208,0.009208
18,1995.08,0.81317,0.62008,1.10501,0.95576,0.95206,0.9721,0.81342,0.64043,0.43192,1.01411,0.0091585,0.0091585,0.0091585
19,2098.55,0.81081,0.606,1.10322,0.95882,0.95407,0.97666,0.82005,0.62379,0.41798,0.99757,0.009109,0.009109,0.009109
20,2204.01,0.81201,0.605,1.10273,0.94096,0.95183,0.97491,0.80626,0.65091,0.4455,1.02671,0.0090595,0.0090595,0.0090595
21,2318.82,0.80324,0.59168,1.10334,0.95017,0.94069,0.97559,0.81379,0.64534,0.43655,1.02935,0.00901,0.00901,0.00901
22,2421.9,0.79909,0.5793,1.096,0.94625,0.96989,0.98063,0.8353,0.61605,0.40296,0.98881,0.0089605,0.0089605,0.0089605
23,2527.06,0.78237,0.57496,1.09071,0.94173,0.96229,0.97915,0.82226,0.6178,0.42235,0.99836,0.008911,0.008911,0.008911
24,2642.27,0.78463,0.56406,1.09618,0.94965,0.97513,0.98382,0.83843,0.613,0.3757,0.98664,0.0088615,0.0088615,0.0088615
25,2745.35,0.77652,0.56128,1.08674,0.95274,0.97138,0.98342,0.83108,0.60767,0.37733,0.99199,0.008812,0.008812,0.008812
26,2849.82,0.77799,0.55331,1.09054,0.94221,0.97374,0.9823,0.83061,0.60563,0.37302,0.98286,0.0087625,0.0087625,0.0087625
27,2965.39,0.77194,0.54201,1.08617,0.96115,0.95192,0.9804,0.8322,0.59796,0.37605,0.99257,0.008713,0.008713,0.008713
28,3068.07,0.76915,0.55131,1.0887,0.94882,0.96945,0.98084,0.84253,0.58652,0.36668,0.97096,0.0086635,0.0086635,0.0086635
29,3172.15,0.74226,0.52874,1.07029,0.95676,0.96678,0.98049,0.8429,0.59089,0.35443,0.97841,0.008614,0.008614,0.008614
30,3286.45,0.76216,0.52099,1.07772,0.97044,0.9556,0.98339,0.8506,0.58311,0.35225,0.96545,0.0085645,0.0085645,0.0085645
31,3388.98,0.74823,0.51193,1.0729,0.95109,0.97275,0.9819,0.84019,0.59673,0.3614,0.98435,0.008515,0.008515,0.008515
