epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,49.6185,1.49453,2.42147,1.39152,0.59703,0.63611,0.62008,0.4306,1.02129,1.35167,1.1389,0.00018472,0.00018472,0.00018472
2,98.0851,1.41892,1.40267,1.35636,0.6256,0.60969,0.62243,0.42464,1.01735,1.17774,1.15582,0.000366389,0.000366389,0.000366389
3,146.593,1.40003,1.30208,1.36684,0.67694,0.60706,0.64419,0.45197,0.98917,1.23402,1.16685,0.00054439,0.00054439,0.00054439
4,194.982,1.36322,1.23732,1.3446,0.68477,0.65228,0.66866,0.45017,0.98416,1.08196,1.17409,0.000539487,0.000539487,0.000539487
5,243.596,1.34464,1.12869,1.31726,0.73164,0.6506,0.70594,0.49946,0.9259,0.92873,1.12751,0.000533982,0.000533982,0.000533982
6,291.896,1.30656,1.06985,1.29437,0.71241,0.68784,0.71933,0.51792,0.90536,0.87154,1.10687,0.000528478,0.000528478,0.000528478
7,340.093,1.27654,1.01568,1.27365,0.73159,0.69645,0.73779,0.54211,0.90273,0.84119,1.12578,0.000522974,0.000522974,0.000522974
8,388.638,1.262,0.9876,1.25991,0.76655,0.7025,0.75201,0.53732,0.90584,0.81059,1.11464,0.000517469,0.000517469,0.000517469
9,436.999,1.24269,0.94851,1.25076,0.76826,0.71117,0.74334,0.52732,0.88509,0.79138,1.12256,0.000511965,0.000511965,0.000511965
10,485.222,1.22367,0.91492,1.23183,0.79104,0.7256,0.77722,0.56798,0.86557,0.73458,1.07853,0.00050646,0.00050646,0.00050646
11,533.45,1.21212,0.89131,1.23032,0.75449,0.71515,0.74965,0.5532,0.85138,0.81512,1.09959,0.000500956,0.000500956,0.000500956
12,581.758,1.2062,0.87871,1.22334,0.77194,0.72902,0.7745,0.57573,0.83838,0.72253,1.09745,0.000495452,0.000495452,0.000495452
13,630.988,1.19259,0.84954,1.21581,0.75798,0.72588,0.76812,0.57075,0.82781,0.70716,1.07578,0.000489947,0.000489947,0.000489947
14,679.329,1.18246,0.82815,1.20767,0.76435,0.73694,0.75606,0.56404,0.82539,0.75061,1.07692,0.000484443,0.000484443,0.000484443
15,727.569,1.15391,0.79987,1.18461,0.79142,0.73492,0.78258,0.57736,0.83471,0.69701,1.08599,0.000478938,0.000478938,0.000478938
16,775.804,1.15494,0.79084,1.18974,0.8208,0.7306,0.78468,0.58363,0.83997,0.71572,1.09066,0.000473434,0.000473434,0.000473434
17,824.438,1.14099,0.76669,1.17932,0.83027,0.73503,0.8067,0.60903,0.81743,0.66759,1.07409,0.00046793,0.00046793,0.00046793
18,873.015,1.12188,0.75638,1.16414,0.81216,0.75063,0.80045,0.60225,0.8075,0.65771,1.07092,0.000462425,0.000462425,0.000462425
19,921.262,1.10666,0.74392,1.16469,0.80186,0.74101,0.79144,0.5993,0.79198,0.66214,1.06121,0.000456921,0.000456921,0.000456921
20,969.417,1.09897,0.73357,1.15394,0.82573,0.73631,0.7946,0.59757,0.80564,0.64963,1.06571,0.000451416,0.000451416,0.000451416
21,1017.57,1.10617,0.72025,1.15777,0.86267,0.73723,0.80816,0.61473,0.78773,0.62871,1.05263,0.000445912,0.000445912,0.000445912
