epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,521.58,1.33276,2.01221,1.29959,0.79095,0.87279,0.93248,0.70007,0.91802,1.13894,1.0102,0.00030091,0.00030091,0.00030091
2,1129.08,1.27037,1.05694,1.28961,0.70739,0.82178,0.80427,0.60142,0.92205,2.27072,1.1476,0.000599925,0.000599925,0.000599925
3,1697.63,1.26241,0.94167,1.29746,0.77387,0.72113,0.77016,0.54807,0.92439,1.00732,1.11501,0.000894939,0.000894939,0.000894939
4,2283.19,1.24044,0.8611,1.28355,0.94747,0.94686,0.98409,0.74453,0.85585,0.64977,1.12128,0.000891002,0.000891002,0.000891002
5,2794.91,1.18378,0.81421,1.26359,0.84579,0.80126,0.93011,0.75356,0.76046,0.84712,1.05816,0.000885002,0.000885002,0.000885002
6,3413.57,1.13983,0.75789,1.22955,0.8439,0.93343,0.94188,0.75914,0.71807,0.68221,1.02697,0.000879003,0.000879003,0.000879003
7,3937.77,1.11023,0.74296,1.21716,0.90951,0.9611,0.98248,0.72416,1.02342,0.60488,1.14411,0.000873004,0.000873004,0.000873004
8,4505.96,1.08929,0.69581,1.20353,0.91398,0.96927,0.98528,0.78566,0.73031,0.53667,1.03814,0.000867004,0.000867004,0.000867004
9,5090.16,1.05192,0.69307,1.19116,0.93871,0.96735,0.98182,0.82192,0.64207,0.52338,1.01379,0.000861005,0.000861005,0.000861005
10,5646.2,1.02127,0.66534,1.17207,0.87758,0.87029,0.91995,0.7504,0.672,0.57983,1.01578,0.000855005,0.000855005,0.000855005
11,6203.3,1.03335,0.65638,1.17666,0.95804,0.93674,0.98676,0.79728,0.69411,0.51883,1.00826,0.000849006,0.000849006,0.000849006
12,6756.92,1.01947,0.62841,1.16358,0.95399,0.97677,0.99308,0.82123,0.68228,0.44332,0.99726,0.000843007,0.000843007,0.000843007
13,7278.02,1.00481,0.62486,1.15835,0.96217,0.98866,0.98902,0.83137,0.62712,0.46229,0.97456,0.000837007,0.000837007,0.000837007
14,7855.32,0.98498,0.60749,1.1526,0.97221,0.95283,0.99287,0.83792,0.63205,0.44193,0.99711,0.000831008,0.000831008,0.000831008
15,8423.57,0.97688,0.61009,1.14944,0.97814,0.98608,0.9931,0.84364,0.58542,0.40611,0.97302,0.000825008,0.000825008,0.000825008
16,9037.53,0.97326,0.5901,1.14335,0.96651,0.98696,0.9932,0.83784,0.60284,0.41213,0.95917,0.000819009,0.000819009,0.000819009
17,9547.22,0.95161,0.57236,1.13781,0.95686,0.98809,0.99081,0.84525,0.58944,0.40204,0.96302,0.00081301,0.00081301,0.00081301
18,10238.9,0.95678,0.59533,1.13644,0.95338,0.96695,0.9913,0.84382,0.60926,0.42062,0.97374,0.00080701,0.00080701,0.00080701
19,10777.5,0.96402,0.57145,1.14224,0.98021,0.97343,0.99293,0.86059,0.57478,0.38795,0.95498,0.000801011,0.000801011,0.000801011
20,11323.7,0.92584,0.56183,1.12259,0.95346,0.98537,0.99005,0.8616,0.54843,0.41358,0.95178,0.000795011,0.000795011,0.000795011
21,11832.6,0.92532,0.56233,1.1154,0.96988,0.98422,0.99274,0.86075,0.56866,0.40244,0.92788,0.000789012,0.000789012,0.000789012
22,12374.6,0.9058,0.54065,1.10352,0.96265,0.97501,0.9923,0.84154,0.59587,0.39154,0.95352,0.000783013,0.000783013,0.000783013
23,12846.7,0.9173,0.55058,1.11127,0.92498,0.99301,0.99028,0.85572,0.5474,0.37198,0.9177,0.000777013,0.000777013,0.000777013
24,13326.9,0.91303,0.53302,1.10329,0.95885,0.99799,0.99239,0.85425,0.58518,0.39306,0.95406,0.000771014,0.000771014,0.000771014
25,13783.7,0.91793,0.54589,1.11582,0.9724,0.97259,0.98838,0.84074,0.58347,0.40194,0.95574,0.000765014,0.000765014,0.000765014
26,14408.3,0.89038,0.52929,1.09368,0.93683,0.97806,0.99055,0.8746,0.53851,0.38405,0.91573,0.000759015,0.000759015,0.000759015
27,14897.2,0.88423,0.52361,1.09235,0.96546,0.97198,0.98259,0.84618,0.56248,0.38332,0.95386,0.000753016,0.000753016,0.000753016
28,15431.5,0.87375,0.5145,1.09118,0.98649,0.97642,0.99349,0.85881,0.53669,0.36171,0.92765,0.000747016,0.000747016,0.000747016
29,15897.8,0.91417,0.52935,1.10948,0.97814,0.98353,0.99312,0.87271,0.53345,0.35849,0.94742,0.000741017,0.000741017,0.000741017
30,16414,0.8773,0.52456,1.08848,0.96204,0.98226,0.99177,0.87056,0.54041,0.37898,0.93158,0.000735017,0.000735017,0.000735017
31,16901.1,0.87135,0.50896,1.08933,0.97043,0.98952,0.99362,0.85181,0.54483,0.36756,0.94501,0.000729018,0.000729018,0.000729018
32,17433.9,0.856,0.49826,1.07643,0.97964,0.98207,0.99372,0.87517,0.50411,0.34721,0.92459,0.000723019,0.000723019,0.000723019
33,17961.9,0.87686,0.51432,1.08799,0.96693,0.96164,0.99145,0.87411,0.52914,0.35536,0.91815,0.000717019,0.000717019,0.000717019
34,18520,0.85016,0.4963,1.07811,0.96567,0.98481,0.99182,0.8715,0.5351,0.35211,0.93856,0.00071102,0.00071102,0.00071102
35,18995.2,0.85358,0.50697,1.07678,0.97092,0.96978,0.99295,0.86666,0.5101,0.3473,0.91234,0.00070502,0.00070502,0.00070502
36,19476.9,0.83514,0.48734,1.07125,0.95869,0.98181,0.99003,0.86228,0.52906,0.35865,0.92845,0.000699021,0.000699021,0.000699021
37,19930.8,0.82034,0.49233,1.0597,0.97094,0.97252,0.99184,0.86432,0.51796,0.36113,0.91643,0.000693022,0.000693022,0.000693022
38,20487.3,0.841,0.49278,1.0687,0.97208,0.99092,0.99316,0.86709,0.49664,0.33756,0.92259,0.000687022,0.000687022,0.000687022
39,20992.1,0.82291,0.48988,1.06968,0.9675,0.99051,0.99351,0.86106,0.53852,0.35939,0.95322,0.000681023,0.000681023,0.000681023
40,21548.4,0.81514,0.47428,1.06301,0.9656,0.98157,0.99323,0.87582,0.49186,0.34926,0.91678,0.000675023,0.000675023,0.000675023
41,22071.7,0.83982,0.48249,1.0747,0.96239,0.98326,0.99237,0.88869,0.49015,0.34115,0.91154,0.000669024,0.000669024,0.000669024
42,22619.5,0.82615,0.47922,1.06508,0.9828,0.97507,0.99342,0.86273,0.56011,0.35102,0.97055,0.000663025,0.000663025,0.000663025
43,23098,0.82237,0.4758,1.06568,0.96854,0.99049,0.99315,0.86635,0.49323,0.35229,0.92105,0.000657025,0.000657025,0.000657025
44,23654.6,0.78783,0.45669,1.04791,0.96769,0.96152,0.98991,0.88079,0.48933,0.34229,0.91367,0.000651026,0.000651026,0.000651026
45,24177.2,0.81041,0.47257,1.06425,0.96914,0.96911,0.9916,0.84883,0.51975,0.34799,0.93554,0.000645026,0.000645026,0.000645026
46,24730.6,0.79687,0.45767,1.0577,0.97197,0.97874,0.99321,0.87776,0.48445,0.3419,0.92442,0.000639027,0.000639027,0.000639027
47,25207.3,0.79284,0.46089,1.0495,0.97123,0.98945,0.99355,0.87248,0.50485,0.34758,0.9341,0.000633028,0.000633028,0.000633028
48,25689.3,0.79112,0.46272,1.04615,0.95653,0.99197,0.99306,0.86213,0.50609,0.33794,0.91831,0.000627028,0.000627028,0.000627028
49,26146.5,0.77879,0.45358,1.0383,0.96085,0.98662,0.99321,0.88824,0.47271,0.334,0.90304,0.000621029,0.000621029,0.000621029
50,26740.6,0.79786,0.46145,1.05294,0.98157,0.97925,0.99223,0.86795,0.49088,0.34367,0.91179,0.000615029,0.000615029,0.000615029
51,27229.6,0.7817,0.45596,1.04456,0.96426,0.98391,0.99226,0.86841,0.47344,0.34044,0.89899,0.00060903,0.00060903,0.00060903
52,27742.3,0.80181,0.46241,1.05433,0.97795,0.96206,0.99202,0.87668,0.49322,0.33895,0.91517,0.000603031,0.000603031,0.000603031
53,28222.3,0.77565,0.44074,1.02815,0.98589,0.97596,0.99358,0.87967,0.48507,0.32554,0.90999,0.000597031,0.000597031,0.000597031
54,28799.8,0.77383,0.45354,1.04129,0.98141,0.97915,0.99391,0.87536,0.4835,0.30871,0.91124,0.000591032,0.000591032,0.000591032
55,29309.6,0.76529,0.44378,1.03349,0.96636,0.98339,0.99372,0.8719,0.49579,0.33045,0.91261,0.000585032,0.000585032,0.000585032
56,29815.4,0.75859,0.4516,1.04197,0.97463,0.97835,0.99329,0.87082,0.48845,0.33017,0.91996,0.000579033,0.000579033,0.000579033
57,30296.4,0.75948,0.43773,1.03225,0.97352,0.99129,0.99374,0.89298,0.46995,0.31144,0.90962,0.000573034,0.000573034,0.000573034
58,30870.8,0.75876,0.433,1.03461,0.98413,0.98522,0.99307,0.87627,0.47381,0.31997,0.8997,0.000567034,0.000567034,0.000567034
59,31404.4,0.75638,0.43138,1.02854,0.97359,0.98502,0.9936,0.86719,0.46414,0.34127,0.89785,0.000561035,0.000561035,0.000561035
60,31999.6,0.76015,0.42984,1.03477,0.97697,0.98809,0.99402,0.87388,0.47133,0.32517,0.90243,0.000555035,0.000555035,0.000555035
61,32455.3,0.75391,0.43305,1.03267,0.96198,0.98422,0.99259,0.87239,0.48755,0.329,0.91445,0.000549036,0.000549036,0.000549036
