epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,592.292,1.30862,1.73857,1.25469,0.73788,0.64344,0.64479,0.47771,0.9714,1.1926,1.09512,0.000550272,0.000550272,0.000550272
2,1157.55,1.34292,0.89014,1.30638,0.24741,0.48993,0.18727,0.11423,1.16111,11.1816,1.28205,0.00109499,0.00109499,0.00109499
3,1759.03,1.37517,0.83745,1.32392,0.82682,0.85094,0.86352,0.64605,0.85478,0.84685,1.12169,0.00162871,0.00162871,0.00162871
4,2280.3,1.29884,0.77714,1.28861,0.94788,0.92086,0.9381,0.64064,1.01739,0.85702,1.15822,0.00161749,0.00161749,0.00161749
5,2891.05,1.26021,0.7092,1.26371,0.94385,0.8773,0.93074,0.72074,0.86336,0.78162,1.06919,0.00160099,0.00160099,0.00160099
6,3525.58,1.23516,0.69277,1.23943,0.96168,0.92018,0.95865,0.76577,0.73161,0.62578,1.01357,0.00158448,0.00158448,0.00158448
7,4099.56,1.21588,0.67202,1.23397,0.94559,0.91701,0.95489,0.66326,1.04908,0.59442,1.15962,0.00156798,0.00156798,0.00156798
8,4706.19,1.15745,0.6331,1.20172,0.89356,0.89614,0.93602,0.73279,0.77624,0.6661,1.01731,0.00155148,0.00155148,0.00155148
9,5322.98,1.18515,0.62887,1.22117,0.9762,0.95563,0.97574,0.80461,0.64302,0.48387,0.97272,0.00153497,0.00153497,0.00153497
10,5961.98,1.15994,0.6002,1.20691,0.95996,0.96158,0.96997,0.81852,0.63037,0.46935,0.98123,0.00151847,0.00151847,0.00151847
11,6553.42,1.11885,0.5888,1.18496,0.98152,0.95324,0.97604,0.83526,0.61701,0.45047,0.95447,0.00150197,0.00150197,0.00150197
12,7198.53,1.12174,0.58487,1.1774,0.98096,0.9524,0.978,0.83046,0.58938,0.45089,0.93813,0.00148546,0.00148546,0.00148546
13,7805.63,1.1,0.57275,1.16219,0.9695,0.96483,0.97173,0.84466,0.53814,0.41299,0.92204,0.00146896,0.00146896,0.00146896
14,8441.39,1.07581,0.56271,1.1505,0.97138,0.96379,0.97943,0.85366,0.55684,0.41854,0.92628,0.00145246,0.00145246,0.00145246
15,9014.86,1.10048,0.5618,1.17808,0.9896,0.9544,0.97528,0.84874,0.52328,0.41833,0.92063,0.00143595,0.00143595,0.00143595
16,9613.68,1.0579,0.54562,1.14531,0.97936,0.95672,0.9728,0.8459,0.56565,0.42413,0.94877,0.00141945,0.00141945,0.00141945
17,10186.1,1.0457,0.54254,1.1386,0.98317,0.9612,0.98476,0.84576,0.55549,0.39534,0.92163,0.00140295,0.00140295,0.00140295
18,10839.4,1.04142,0.52001,1.14097,0.97262,0.95402,0.97958,0.85793,0.51062,0.38939,0.90604,0.00138644,0.00138644,0.00138644
19,11452.2,1.05413,0.5319,1.13684,0.97549,0.97129,0.98355,0.86635,0.52177,0.3847,0.91217,0.00136994,0.00136994,0.00136994
20,11953.5,1.0103,0.51251,1.11883,0.97672,0.96965,0.97821,0.85797,0.52312,0.38047,0.90786,0.00135344,0.00135344,0.00135344
